Timestamp,Gender,Age group,Which fuel grade do you most commonly use?,2.Approximately how many kilometers do you drive in a typical week?,3. Roughly how much do you spend on fuel per month?,"4.How much of a financial burden do you consider current fuel prices to be? (1 = no burden at all, 5 = very significant burden)",5.Have recent fuel price increases in Egypt changed any of your driving habits?
4/5/2026 23:02:50,Male,18-20,electric charging,More than 350 km,0,1,No change at all
4/5/2026 23:46:39,Female,18-20,Benzeen 92,50-100 km,2800,3,No change at all
4/6/2026 0:28:36,Male,18-20,Benzeen 92,100-200 km,3000,5,I share rides more often
4/6/2026 9:22:00,Male,18-20,Benzeen 95,Less than 50 km,1000,3,No change at all
4/6/2026 9:27:14,Male,21-23,Benzeen 95,100-200 km,1600,5,I drive shorter distances when possible
4/6/2026 10:09:28,Male,21-23,I don't pay for fuel personally,50-100 km,2000,4,No change at all
4/6/2026 12:13:25,Male,21-23,I don't pay for fuel personally,Less than 50 km,650,3,I use public transport more
4/6/2026 13:06:08,Male,18-20,Benzeen 92,100-200 km,3000,5,I share rides more often
4/6/2026 19:37:06,Female,18-20,Benzeen 95,50-100 km,600,3,I drive shorter distances when possible
4/6/2026 19:39:32,Female,18-20,Benzeen 92,50-100 km,1000,4,I share rides more often
4/6/2026 19:43:37,Female,18-20,I don't pay for fuel personally,200-350 km,2000,3,I use public transport more
4/6/2026 19:57:15,Female,21-23,Benzeen 92,200-350 km,2000,5,I use public transport more
4/6/2026 20:05:14,Female,18-20,I don't pay for fuel personally,50-100 km,2000,4,I use public transport more
4/6/2026 20:06:57,Female,18-20,Benzeen 92,200-350 km,2500,3,I use public transport more
4/6/2026 20:12:54,Female,18-20,Benzeen 95,200-350 km,5000,5,I share rides more often
4/6/2026 20:13:02,Female,18-20,Benzeen 92,"200-350 km, 50-100 km",800,3,I share rides more often
4/6/2026 20:15:05,Female,18-20,Benzeen 80,100-200 km,3000,3,No change at all
4/6/2026 20:17:01,Female,18-20,Benzeen 92,50-100 km,400,3,I use public transport more
4/6/2026 20:35:24,Female,18-20,Benzeen 95,200-350 km,1800,5,I drive shorter distances when possible
4/6/2026 21:27:25,Male,24+,Benzeen 95,More than 350 km,4000,5,I drive shorter distances when possible
4/6/2026 21:32:18,Female,24+,Benzeen 95,More than 350 km,,5,No change at all
4/6/2026 21:53:05,Female,18-20,Benzeen 95,50-100 km,400,5,I share rides more often
4/6/2026 21:59:45,Female,18-20,I don't pay for fuel personally,100-200 km,1000,3,I drive shorter distances when possible
4/6/2026 22:16:28,Male,24+,Benzeen 95,50-100 km,5,3,I use public transport more
4/7/2026 0:58:22,Female,24+,Benzeen 95,200-350 km,3000,5,I drive shorter distances when possible
4/7/2026 3:47:00,Female,24+,Benzeen 92,50-100 km,3,2,I drive shorter distances when possible
4/7/2026 14:06:59,Female,18-20,I don't pay for fuel personally,More than 350 km,3600,4,No change at all
4/9/2026 11:12:03,Male,21-23,Diesel (Solar),50-100 km,1000,5,No change at all
4/9/2026 11:28:02,Male,18-20,Benzeen 95,200-350 km,1400,3,I share rides more often
4/9/2026 11:28:33,Male,18-20,Benzeen 95,More than 350 km,1600,3,No change at all
4/9/2026 11:45:10,Female,18-20,Benzeen 95,100-200 km,2600,4,I drive shorter distances when possible
4/9/2026 12:08:34,Male,18-20,I don't pay for fuel personally,100-200 km, 900 ,4,I share rides more often
4/9/2026 12:45:20,Male,18-20,I don't pay for fuel personally,More than 350 km,4000,5,I use public transport more
4/9/2026 14:25:08,Female,18-20,Benzeen 92,50-100 km,,1,I drive shorter distances when possible
4/9/2026 14:39:26,Male,18-20,Benzeen 92,50-100 km,2500,4,I drive shorter distances when possible
4/9/2026 17:48:03,Male,18-20,I don't pay for fuel personally,200-350 km,,5,I use public transport more
4/9/2026 17:52:54,Male,21-23,Benzeen 92,More than 350 km,,5,I drive shorter distances when possible
4/9/2026 18:01:00,Male,18-20,I don't pay for fuel personally,100-200 km,1100,3,No change at all
4/9/2026 18:04:14,Male,18-20,Benzeen 95,100-200 km,2000,3,I use public transport more
4/9/2026 18:05:30,Female,21-23,I don't pay for fuel personally,200-350 km,2000,3,I use public transport more
4/10/2026 10:39:13,Male,21-23,Benzeen 95,More than 350 km,3500,5,I use public transport more
4/10/2026 10:43:56,Female,24+,electric charging,More than 350 km,200,1,I switched to electric vehicles
4/10/2026 10:44:59,Male,24+,Benzeen 92,100-200 km,1600,3,I share rides more often
4/10/2026 10:57:56,Male,18-20,Benzeen 95,200-350 km,3000,3,I drive shorter distances when possible
4/10/2026 11:37:44,Female,24+,Benzeen 95,200-350 km,2600,5,I drive shorter distances when possible
4/10/2026 11:42:00,Male,24+,Benzeen 95,200-350 km,5000,5,I drive shorter distances when possible
4/10/2026 11:45:19,Female,21-23,Benzeen 92,Less than 50 km,,3,I use public transport more
4/10/2026 11:45:52,Male,24+,Benzeen 92,100-200 km,1600,3,No change at all
4/10/2026 11:46:55,Male,21-23,Benzeen 95,200-350 km,2100,4,I drive shorter distances when possible
4/10/2026 11:47:58,Female,24+,Benzeen 92,More than 350 km,2500,5,I switched to electric vehicles
4/10/2026 11:47:58,Male,21-23,Benzeen 95,50-100 km,7500 ,3,No change at all
4/10/2026 12:25:56,Female,21-23,Benzeen 92,50-100 km,1200,3,I drive shorter distances when possible
4/10/2026 12:52:02,Male,24+,Benzeen 95,100-200 km,3000,4,I switched to electric vehicles
4/10/2026 12:54:13,Male,18-20,I don't pay for fuel personally,50-100 km,2000,2,I drive shorter distances when possible
